ESTACION,OPERADOR,VARIABLE,FECHA,HORA,VALOR,UNIDADMEDIDA
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,4/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,4/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,4/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,5/08/1965,07:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,5/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,5/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,6/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,6/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,6/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,7/08/1965,07:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,7/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,7/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,8/08/1965,07:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,8/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,8/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,9/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,9/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,9/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,10/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,10/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,10/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,11/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,11/08/1965,13:00,28.8,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,11/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,12/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,12/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,12/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,13/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,13/08/1965,13:00,21.6,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,13/08/1965,19:00,28.8,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,14/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,14/08/1965,13:00,21.6,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,14/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,15/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,15/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,15/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,16/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,16/08/1965,13:00,21.6,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,16/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,17/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,17/08/1965,13:00,21.6,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,17/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,18/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,18/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,18/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,19/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,19/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,19/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,20/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,20/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,20/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,21/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,21/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,21/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,22/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,22/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,22/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,23/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,23/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,23/08/1965,19:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,24/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,24/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,24/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,25/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,25/08/1965,13:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,25/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,26/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,26/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,26/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,27/08/1965,07:00,7.2,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,27/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,27/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,28/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,28/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,28/08/1965,19:00,0,m/s
